query_candidate_id	label	neg_score	pos_score
q-1-vkgnwxzc	0	0.9963458	0.0036541405
q-1-u8pjg6op	0	0.9999987	1.2519499e-06
q-1-cv36vc8i	0	0.998548	0.0014520052
q-1-it4ka7v0	1	0.0037441736	0.9962559
q-1-djq0lvr2	0	0.99999654	3.5019432e-06
q-1-q4i9kh65	0	0.9999988	1.1346142e-06
q-1-kzp0sgo6	1	0.002123917	0.99787605
q-1-kaip0d1i	0	0.9999988	1.2386537e-06
q-1-4hn55wui	0	0.9999988	1.228295e-06
q-1-45g12waw	0	0.9999794	2.0571171e-05
q-1-1mxjklgx	0	0.9999989	1.1312023e-06
q-1-465ltmml	0	0.9999989	1.1233149e-06
q-1-v5qz7ft9	0	0.9999988	1.1951729e-06
q-1-66ulqu11	0	0.9999987	1.2834493e-06
q-1-99ip482s	0	0.9999988	1.1375114e-06
q-1-40xvvw5f	0	0.9999988	1.1499511e-06
q-1-g1kr7s11	0	0.9999988	1.1690445e-06
q-1-rcbw54xc	0	0.9999987	1.2912329e-06
q-1-neba2o7n	0	0.9998518	0.00014812406
q-1-fgrwwzn7	0	0.99999857	1.383437e-06
q-1-3bmcglan	0	0.9999988	1.1379062e-06
q-1-ewvdl06h	0	0.9999988	1.1365289e-06
q-1-px0twvhs	0	0.9999974	2.617339e-06
q-1-7eugtq8g	0	0.9999987	1.3063664e-06
q-1-1a8uevk8	0	0.9999989	1.1269448e-06
q-1-hzxgi1t0	0	0.99999833	1.6992252e-06
q-1-8anqfkmo	0	0.99955064	0.00044937714
q-1-wmfcwqfw	0	0.99999857	1.4376827e-06
q-1-vby3aan7	0	0.99999833	1.6992252e-06
q-1-lgphvgar	0	0.9999988	1.1402178e-06
q-1-sozs02x0	0	0.9999989	1.119577e-06
q-1-wh9vvgv2	0	0.9999987	1.2608092e-06
q-1-fxre60s9	0	0.74331003	0.25668997
q-1-wuegn0jg	0	0.9999989	1.1256709e-06
q-1-56zhxd6e	1	0.0005175721	0.9994824
q-1-jzosdlu7	0	0.9999989	1.13117e-06
q-1-1n8brl09	0	0.9999989	1.1311269e-06
q-1-lk7e2pni	0	0.99958926	0.00041075496
q-1-ic2h01gm	0	0.9999989	1.1262003e-06
q-1-guz3am41	0	0.9999937	6.270665e-06
q-1-lmoekp1m	0	0.9999988	1.1377663e-06
q-1-i5korxut	0	0.9999988	1.2400697e-06
q-1-s4gfbsqy	0	0.9998534	0.00014657741
q-1-jarnavwl	0	0.9999987	1.3587869e-06
q-1-w8ak5hpu	0	0.9999989	1.1228447e-06
q-1-jf36as70	0	0.9999988	1.2047501e-06
q-1-k86ljbxu	0	0.9999962	3.8654653e-06
q-1-yy96yeu9	0	0.9999989	1.1230503e-06
q-1-njzuu4xl	0	0.99999225	7.733824e-06
q-1-yxms5vqh	0	0.99999833	1.6992252e-06
q-1-u0t2ezk8_1089561	1	0.00020411436	0.99979585
q-1-x443k65a_1100251	0	0.9999988	1.1518478e-06
q-1-1mxjklgx_1106116	1	0.0005108132	0.9994892
q-1-odupmsen_259117	0	0.99985766	0.00014232162
q-1-neba2o7n_1129724	1	0.0009218375	0.99907815
q-1-fuqtwn5a_1119496	1	4.885918e-05	0.9999511
q-1-djq0lvr2_1118122	1	2.8244309e-05	0.99997175
q-1-vkgnwxzc_1107353	1	1.10974415e-05	0.9999889
q-1-ao93c31w_1119568	0	0.9999988	1.2510645e-06
q-1-djq0lvr2_1118119	1	1.1474916e-05	0.99998856
q-1-1mxjklgx_1106105	1	0.00022814094	0.9997719
q-1-ndpuezpo_1125689	0	0.99985814	0.00014186474
q-1-icxkkaab_216777	1	0.009129285	0.99087065
q-1-jbtrdvhe_491642	0	0.9999901	9.914999e-06
q-1-w3fsxg90_1128195	0	0.99998426	1.5723732e-05
q-1-j9kg00qf_40288	0	0.9999988	1.1456679e-06
q-1-i46n70gb_1118796	0	0.9999988	1.1718014e-06
q-1-1mxjklgx_1106100	1	1.429676e-05	0.9999857
q-1-u8goc7io_1099866	1	1.4942898e-05	0.9999851
q-1-a8ig607t_1101886	0	0.97609633	0.0239037
q-1-m27nyzrw_1131139	1	1.8170253e-05	0.9999819
q-1-v8uzd2f3_580207	0	0.99999845	1.5033214e-06
q-1-udtj0lom_1123786	0	0.99999344	6.5899244e-06
q-1-hibzy1oh_971837	0	0.9999988	1.1430956e-06
q-1-jat60k8t_1147809	1	1.4555092e-05	0.99998546
q-1-u8goc7io_1099885	1	1.4555092e-05	0.99998546
q-1-ejdbx7q7_1131423	1	6.623273e-05	0.9999337
q-1-aiq6ejcq_1132732	1	1.20031555e-05	0.99998796
q-1-3y89lumh_1131521	0	0.9999087	9.136173e-05
q-1-djuomhww_1075579	0	0.99999845	1.555956e-06
q-1-376snefs_478926	0	0.9999989	1.1270716e-06
q-1-2v5wkjrq_1116714	0	0.9999982	1.7973857e-06
q-1-djq0lvr2_1118131	1	2.2332377e-05	0.9999777
q-1-8s7qw9gv_892672	1	0.0004651007	0.99953496
q-1-cc05jqb6_1133537	1	2.2851715e-05	0.9999771
q-1-66fg7j7g_186999	0	0.9999987	1.3138452e-06
q-1-66ulqu11_1111159	1	0.00038664773	0.99961334
q-1-z9jk1n7o_1114650	0	0.9999987	1.2808619e-06
q-1-soiimy63_825103	0	0.9999988	1.2109831e-06
q-1-1mxjklgx_1106106	1	1.2162202e-05	0.99998784
q-1-djq0lvr2_1118126	1	1.0644093e-05	0.9999894
q-1-fugb778l_1103979	0	0.99999833	1.6781783e-06
q-1-it4ka7v0_1113297	0	0.9999845	1.551644e-05
q-1-kaip0d1i_576163	1	3.4922534e-05	0.9999651
q-1-izolg0pm_1153820	1	0.00013869615	0.99986124
q-1-d13bq4ij_1159020	1	0.00019920079	0.99980086
q-1-rwoyyu3y_1147612	0	0.99999833	1.7008806e-06
q-1-i46n70gb_1118802	0	0.999678	0.00032196837
q-1-1mpp7sbt_1134523	1	1.2356579e-05	0.9999876
q-1-2wshgzjk_1100570	1	1.0537176e-05	0.9999895
q-2-50zrnau8	1	5.550305e-05	0.99994445
q-2-1fyag5x3	0	0.9999989	1.1151058e-06
q-2-axijpn4y	0	0.9999989	1.1250635e-06
q-2-3q2bj7cr	0	0.9999989	1.1277565e-06
q-2-giabjjnz	0	0.99999523	4.8031175e-06
q-2-mz06mkqf	0	0.99998605	1.3994113e-05
q-2-bgm3bt78	0	0.99876666	0.0012333173
q-2-z71bquck	0	0.9999987	1.2576088e-06
q-2-k0kha22e	0	0.9999989	1.1323314e-06
q-2-6vbhgwsi	0	0.9999988	1.172906e-06
q-2-xs7vkm19	1	0.0026544	0.9973456
q-2-hnx213kp	0	0.99999774	2.2183228e-06
q-2-7w1bhaz6	0	0.9999968	3.1935656e-06
q-2-pkxf85n6	0	0.9999989	1.1259457e-06
q-2-8f76vhyz	0	0.99999714	2.8570707e-06
q-2-mar8zt2t	0	0.999998	2.0353198e-06
q-2-eflwztji	1	0.00020690406	0.9997931
q-2-1nl7q6cy	0	0.99999845	1.5586248e-06
q-2-kgkcgpmq	0	0.99999857	1.3754949e-06
q-2-k86ljbxu	1	1.7391945e-05	0.9999826
q-2-6qsk6mij	0	0.9999901	9.901986e-06
q-2-cm91jxde	0	0.9999988	1.1573876e-06
q-2-cisrvghj	0	0.99999833	1.6569195e-06
q-2-r5a46n9a	0	0.9999989	1.1284063e-06
q-2-jzosdlu7	0	0.9971775	0.0028225458
q-2-v3gww4iv	0	0.99997056	2.9434284e-05
q-2-6eptw6io	0	0.9999988	1.1348739e-06
q-2-yiy2y2x3	1	0.0049619586	0.9950381
q-2-kwq2y3il	0	0.9999988	1.1748439e-06
q-2-89fol3pq	0	0.9999987	1.2638355e-06
q-2-dhcfu6xg	0	0.9939429	0.0060570478
q-2-6vt60348	0	0.9999757	2.433361e-05
q-2-lk9kwilr	0	0.9999988	1.1399244e-06
q-2-l2kywzro	0	0.9999989	1.1300929e-06
q-2-zixnvehs	0	0.9999988	1.1342972e-06
q-2-x6736prq	0	0.9999987	1.2636838e-06
q-2-ofoqk100	0	0.99984944	0.00015059368
q-2-xsgxd5sy	0	0.9999987	1.253833e-06
q-2-zprn1bbq	0	0.9999988	1.1391376e-06
q-2-er6lz09f	0	0.9999989	1.1115692e-06
q-2-atnz63pk	0	0.99999464	5.3870876e-06
q-2-26py5jyu	0	0.9999989	1.118753e-06
q-2-bujltzlv	0	0.9999989	1.13095e-06
q-2-96etgd2l	0	0.9999987	1.2665613e-06
q-2-4k1i6y98	0	0.9999989	1.1221821e-06
q-2-d4dnz2lk	0	0.9999989	1.1204036e-06
q-2-4yuw7jo3	0	0.9999988	1.1449798e-06
q-2-e3wx096u	0	0.9999988	1.134466e-06
q-2-ti9b1etu	0	0.9999987	1.3625033e-06
q-2-ghcwfcx2	0	0.9999988	1.1742267e-06
q-2-1z702pxb_558685	1	0.00019464604	0.9998054
q-2-6eptw6io_740952	1	9.193401e-06	0.9999908
q-2-icxkkaab_216737	0	0.99999857	1.444425e-06
q-2-0rrgqukp_343934	1	0.00033860686	0.99966145
q-2-89fol3pq_1094701	1	0.35624298	0.643757
q-2-oeavo4vb_186209	1	1.1885999e-05	0.9999881
q-2-1w8o59ul_417811	0	0.9999962	3.8565986e-06
q-2-89fol3pq_1094702	1	8.372442e-06	0.99999166
q-2-d13j2pt5_1130530	1	1.4686366e-05	0.99998534
q-2-90tccg03_1100375	0	0.99971074	0.0002892116
q-2-bc9retcq_1114047	1	4.0160587e-05	0.9999598
q-2-pp6hb4q5_1155361	1	2.546985e-05	0.9999745
q-2-9objjgsj_1126512	0	0.9999988	1.1428787e-06
q-2-odzoh3yo_299785	0	0.9999988	1.1449164e-06
q-2-giabjjnz_1130583	0	0.9999982	1.8075843e-06
q-2-cmaw7jcn_334061	1	1.6325559e-05	0.99998367
q-2-08a1oin2_393635	1	0.4218312	0.57816887
q-2-oeavo4vb_186193	1	1.585213e-05	0.99998415
q-2-oeavo4vb_186212	0	0.9980988	0.0019012295
q-2-mg7k1pt8_109439	0	0.9999987	1.3426417e-06
q-2-icxkkaab_216860	0	0.99999833	1.7081077e-06
q-2-0rrgqukp_343938	0	0.99868745	0.0013125332
q-2-26py5jyu_905008	0	0.9980591	0.0019408605
q-2-yb54i1ne_960307	1	1.819385e-05	0.99998176
q-2-6xyipioz_369721	0	0.999998	2.082571e-06
q-2-dmrtsxik_556728	0	0.9999987	1.2573846e-06
q-2-giabjjnz_1130576	0	0.999762	0.00023802485
q-2-dp8fmr8z_471327	0	0.9999989	1.127392e-06
q-2-zllg1au4_218878	0	0.99992394	7.603392e-05
q-2-4znm2erq_167389	0	0.999998	1.9960883e-06
q-2-89fol3pq_1094703	1	1.4871928e-05	0.9999851
q-2-f3l8iraa_122741	0	0.9999987	1.3054373e-06
q-2-ojmhkt5o_490862	1	0.22830774	0.7716922
q-2-n8e2n30b_1034289	1	1.1677713e-05	0.9999883
q-2-g49bgnzu_199211	0	0.99999654	3.4378925e-06
q-2-z4k0dytm_299821	0	0.99999833	1.7233212e-06
q-2-belin2jq_1151010	1	8.540576e-06	0.9999914
q-2-6eptw6io_740956	0	0.84017986	0.15982012
q-2-50zrnau8_1114698	1	1.0021106e-05	0.99999
q-2-dmrtsxik_556746	0	0.9999963	3.6726756e-06
q-2-oudj079q_971410	0	0.9999895	1.0486431e-05
q-2-e5frjae8_62408	0	0.99999833	1.6664881e-06
q-2-fbqqfot9_531458	0	0.9999974	2.6734986e-06
q-2-z4k0dytm_299818	0	0.99999785	2.1480107e-06
q-2-odly2fwg_16713	0	0.999951	4.8975708e-05
q-2-546ozkly_74529	1	9.429985e-06	0.9999906
q-2-kiq6xb6k_1157021	0	0.99999833	1.6734699e-06
q-2-0rrgqukp_343933	0	0.9999987	1.2623395e-06
q-2-oeavo4vb_186196	0	0.9999988	1.1575598e-06
q-2-dmrtsxik_556740	0	0.9999938	6.1843316e-06
q-3-vc2eheb6	0	0.99202174	0.00797824
q-3-f4hj35dr	1	0.00066539756	0.99933463
q-3-ax87r0bj	1	0.00013573469	0.9998642
q-3-i47fgp6q	0	0.9999989	1.1305218e-06
q-3-6eptw6io	0	0.9999989	1.1229367e-06
q-3-6vbhgwsi	0	0.9999988	1.193724e-06
